Document_Id,Clean_Text,Sentiment
65,covid19 covidvaccin do not take someon el vaccin thou shalt not steal do fli extend famili httpstco1mpnhzg0b4,Neutral
66,love love mavericksmus incred drummer mavpaul59 use awesom hashtag vaccinesaresexi just httpstcojyw7rmqunp,Positive
67,silke4sen abcdiagnosi jj_lock amjohnston1315 juliemeryl09 fitwithjanic fiestyivi drawstickpeopl httpstcobwbyyy0noh,Neutral
68,gotta shot covidvaccin moderna 1stshot hamilton youcandoit historicachiev vaxxer social httpstco1kdkm4fcnr,Positive
69,death through nurs eye httpstcosh08qvcgcu empathi nurs covid19 stopthespread covidvaccin,Negative
70,jessicam6946 of cours covidvaccin getvaccin,Positive
71,us_fda panel unanim recommend third covidvaccin jampj win key vote path emerg use httpstcoud12lssf7z,Positive
72,three good number covidvaccin httpstcojnqwv5sifo,Positive
73,true remain true singl biggest constraint vaccin ontario availab httpstcopjmu6j5sdp,Neutral
74,giselefetterman senior limit access technolog schedul first dose pfizer covidvaccin httpstcor4mjhudgci,Neutral
75,mentalhealth essenti be undocu im use deserv resourc crazi job allow httpstcoqkkm7aujv3,Neutral
76,thank nurs frontlin peopl fight u nurs covid19 covidvaccin httpstcolerizixv27,Positive
77,i know pandem i dont think i could trust vaccin compani knowingli asbesto httpstcowegqcqodfd,Negative
78,my arm readi wait covid19 covidvaccin httpstcohjqfthp1tk,Negative
79,i got 2nd dose modernavaccin im happi i got protect arou httpstcodx61boxooz,Positive
80,erictopol veri happi receiv covidvaccin im 1c stillwait,Positive
81,so excit citi begin appoint individu louisvil teamkentucki togetherki httpstcoeb0ujmgdgo,Positive
82,got covidvaccin today arm sore i move otherwis feel good plan keep updat httpstco80cvpgeax1,Negative
83,cvspharmaci thank make covidvaccin process easi painless lincoln st worcest made easi,Positive
84,over age use system book covidvaccin wait hear gp th httpstcoswsqfecr98,Neutral
85,christineguerc1 awfulso sorri hear unfortun he alon a loophol ban deptvetaffair fr httpstcousjipdlibf,Neutral
86,7thwardal it piec cake al look forward covidvaccin protect,Positive
87,disast capit give covidvaccin rollout lnp donor non tender contract expect gp provi httpstcohgmplij91c,Neutral
88,get done covidvaccin teamwinston followthesci winston_ eisdofsa omoucouli drh_ontheedg httpstco4uvq4cw6f4,Neutral
89,second dose of the covidvaccin no bueno httpstcoxjawbqvben,Negative
90,it feel pretti cool know scientist use mrna trick bodi make antibodi pathogen hasnt httpstcoyeiemdl8q6,Positive
91,my husband i health condit i front line worker barista we cant get vaccin c httpstconyg2lryi6d,Neutral
92,me count jampj stock anticip author now watch crash given luck httpstcovacqffejqj,Neutral
93,covid19 u state polici report februari httpstcohs7ftpy8an covidvaccin publichealth facemask spb_global,Neutral
94,happi friday my yr old mom got 2nd covidvaccin today httpstcoexbs0zegpw,Positive
95,vancouversd nurs share mywhi sleevesup covidvaccin trustthesci mywsna wcnurs schoolnurs httpstcorjjrwmih3b,Neutral
96,how dare advis u experiment natur covidvaccin use australia danielandrewsmp httpstcowyb6er7xxc,Neutral
97,pfizer covidvaccin reduc transmiss after one dose uk studi research analys result thousand httpstcorhjnx8dlbp,Positive
98,happi friday happi me i got first pfizer dose covidvaccin httpstcoi2pox90ktx,Positive
99,governorva weve least day what plan covid19 covidvaccin virginia httpstcoawvp9f44cf,Positive
100,yesterday i got one two covid vaccin today i say ouch covid19vaccin vaccin coronaviru covidvaccin,Negative
