,Title,Abstract
10,Rodent outbreaks: ecology and impacts,"The impacts of rodents in both developing and developed countries are legendary. Myths and dogma about rodents and their population outbreaks abound. They are imbedded in the culture and language of many societies. In many instances, it is the acceptance of these outbreaks by society that is our greatest challenge. The reason these episodic outbreaks become etched in the socio-cultural psyche from the sparsely populated uplands of Laos to the considerably more affluent agricultural lands of Europe is that the impacts are often staggering - economically, socially, and even politically. The book is a collation of contributions from Asia, Africa, Oceania (Australia and New Zealand), Europe, and North America. The advent of ecologically based rodent management has stimulated the progress summarized in this book. The contributions provide a modern appraisal to an age-old problem through a better understanding of the mechanisms that lead to rodent outbreaks, why rodent population numbers increase under different circumstances, and the impact of outbreaks in a range of different agroecosystems and native forests in different parts of the world. This is an encouraging progress report driven by scientists passionate about rodents, about people, about conservation, and about improving our knowledge of these species and the ecosystems they inhabit. And, in a novel twist, there is an appendix of recipes for preparing rat meat. You will be more than tempted to try one of these dishes the next time you travel in Asia or Africa"
11,Chemostratigraphy of Upper Carboniferous (Pennsylvanian) sequences from the Southern North Sea (United Kingdom),"Important gas reservoirs occur in the Upper Carboniferous coal measures and red beds of the Southern North Sea. The thick red beds of the Boulton and Ketch formations are difficult to correlate, due to poor internal seismic definition, repetitive e-log signatures, and their barren nature. Although the underlying coal measures of the Westoe, Cleaver, and Caister Formations have better seismic resolution and contain palynomorphs, coals that die out laterally and the lack of diagnostic taxa over certain intervals contribute to their correlation being problematical. However, the application of chemostratigraphy to more than sixty wells from numerous fields in UK Quadrants 44 and 49, as well as from Dutch sector Blocks E, F, and K, allows the establishment of an independent, robust, detailed correlation framework

for the aforesaid red beds and coal measures.

Presented in this paper are correlative chemostratigraphic reference sections for the Caister, Westoe, Cleaver, Ketch, Boulton, and Step Graben formations. The chemostratigraphic zonations erected for these formations are based on variations in silty claystone geochemistry that can be tied to changes in provenance, climate, and depositional environment. In addition, the zonations are supported by stratigraphic changes in sandstone and coal geochemistry, the geochemical correlation of tonsteins and marine bands, and the recognition of different types of paleosol in the above formations.

The chemostratigraphic correlation framework enables specific broad intervals (""packages"") to be correlated between fields and is also used to constrain seismic correlations with a view to highlighting potential exploration targets. Furthermore, the same framework allows

much thinner intervals (""units"" and ""subunits"") to be correlated within fields: these smaller-scale correlations enhance reservoir correlations with respect to the development of fields such as Boulton, Schooner, Tyne, Ketch, and Topaz. In addition to using inorganic

geochemical data to characterize and correlate sedimentological packages, data can also used to identify and correlate marker horizons and surfaces (tonsteins, coals, marine bands, major paleosols), which may be highly correlative low-diachrony surfaces, which greatly enhance

the overall validity of the stratigraphic correlation scheme"
12,Understanding the costs and benefits of mitigation measures used to reduce or prevent soil erosion,"This research project final report includes the following sections: 

C.1. Review of current understanding of the types, causes, extent, magnitude and impact of soil erosion in England and Wales; 

C.2. Current and potential mitigation measures used to control

erosion in England and Wales;

C.3. Costs and Benefits of Mitigation Measures (descriptive and analysis); and

C.4. Discussions and Conclusions"
13,"People, place, enterprise: proceedings of the first annual conference on Olympic Legacy 8 and 9 May 2008","The Olympic Legacy: People, Place, Enterprise conference took place at the University of Greenwich in May 2008. The first in a series of annual conferences, it brought together leading academics, policy makers and practitioners to debate the lasting legacy of the games.

The conference had four themes: social and cultural regeneration; Olympic tourism; enterprise, including social enterprise and skills development, and education, providing a multi-dimensional perspective on the likely impacts of the forthcoming London Olympics"
14,Towards learning design for the information age,None
15,Designing for effective practice: a method for professional development,"In this paper, the authors identify a renewed interest in the potential of pedagogical exploration leading to more effective ways of teaching and learning that incorporate the relatively new dimension of e-learning. They report on a simple professional development method that supports discussion on planning for activity based learning leading to effective practise. They suggest ways in which teachers’ identities can be developed through discussion, but acknowledge that learners may already be using a range of technologies that are unfamiliar to teachers"
16,"Values, principles and integrity: academic and professional standards in higher education","A brief narrative description of the journal article, document, or resource.	This paper is based mainly on responses--nearly 300--to a web-based survey of academic staff in UK higher education. The survey examined their personal and professional values and their views on the values that should underpin higher education. Their perceptions of current reality in terms of national policy and processes and of institutional management expectations, with examples provided of events that disturbed them, raise questions about the longer term health of higher education as it has been understood. The project was seen as a pilot aiming to provoke debate about how well traditional values and standards ""fit"" with mass levels of higher education provision, and government emphases on the economic role of higher education. The findings are set in a theoretical context drawing on models by Clark (1983), Becher and Kogan (1992) and the author (McNay, 1995, 2005a"
17,Innovations in pay and grading in NHS trusts,"This report examines innovations in pay and grading in 10 NHS trusts in England using data collected from March 2000 to January 2001, ie prior to the implementation of Agenda for Change. These 10 trusts, which varied in size, function, and location, were selected primarily to illustrate a variety of different approaches to pay and grading. The research utilised a qualitative methodology, with interviews of managers on a one to one basis, group interviews with lay union representatives, focus groups with staff and the inspection of documents. This study focused on four questions:

• Did local pay resolve the problems associated with Whitley?

• What were the consequences of local pay?

• Were the trusts’ pay systems introduced in line with 'new pay' ideas and current trends in reward management?

• What factors were critical to the success of developing and implementing local pay systems in NHS trusts"
18,Does it work? evaluating a new pay system,"This report focuses on the evaluation of the impact of new pay systems in large, unionised multi-site organisations by the organisations themselves. Evaluation of the effectiveness of a pay system, however, does not take place in a vacuum and relates to the aims and objectives of the pay system concerned. Moreover, evaluation is not an end in itself. It is, therefore, relevant to consider if any further steps were taken as a result of evaluation. Accordingly our research questions were:

• What were the aims and objectives of organisations when introducing new pay arrangements?

• What data did organisations collect and review to inform their evaluation?

• What steps have organisations taken as a result of their evaluation?

We re-appraised our data from 10 NHS trusts in England which had introduced some innovations in pay and grading in the 1990s. Additionally, we looked at seven multi-site unionised organisations outside the NHS in both the public and private sectors, which had recently made changes to their reward systems, carrying out interviews and inspecting documents.

The main output is a template for the evaluation of Agenda for Change by NHS organisations"
19,Gender and the labour market in South East England. Volume 1: the context,"This research was commissioned by the South East England Development Agency (SEEDA) and the European Social Fund (ESF). The objective is to identify good practice as well as barriers to women’s full contribution to the labour market in South East (SE) England. The research questions are:

• How does the labour market position of women in the SE region compare with that of men in the region and with that of women nationally?

• What policies and practices do employers in South East England adopt in respect of gender equality?

• What barriers do employers and women employees in South-East England identify in respect of gender and employment"
20,Adopting sustainable soil management: the role of socio-economic factors,"The sustainable management of soils is crucial to enable the long term use of the various soil functions. Although soil degradation caused by agriculture is a process defined by technical, climatic, and bio-physical factors, there is recognition that the underlying causes are to be found

in the socio-economic, political and cultural context in which farmers operate. In Europe, farmers’ decision-making on farm management is strongly influenced by agricultural policies and economic incentives.

This paper aims to review and summarize findings of existing studies on the role of socioeconomic factors that influence farmers and other land managers’ adoption of soil conservation practices with a focus on the European situation"
21,"Student diversity, extra-curricular activities

and perceptions of graduate outcomes","This research will examine how different student groups engage with extra-curricular activities and what effect these activities have on their degree and graduate outcomes.



Recent research has indicated that different student groups have different degree and employment outcomes, this research examines how different student groups engage with extra-curricular activities and what effect these activities have on their degree and graduate outcomes.



It examines what extra-curricular activities students participate in and whether different groups have preferences for different types of activities (i.e. are there patterns of participation in certain activities by certain groups of students) and if so what impact does this patterning have on graduate employment potential. Extra-curricular activities are broadly defined in this research, such as part-time work, involvement in University union clubs and societies, (and different types of clubs and societies, cultural, sporting and other), other University related activities such as volunteering, class representation, etc. and other activities outside of University life, such as family commitments and community activitie"
22,"Food, fibre and forest products",None
23,Oops,Nothing
24,The reporting behaviours of student nurses who have experienced verbal abuse,"Background: There is evidence that student nurses are vulnerable to experiencing verbal abuse from a variety of sources and under-reporting of verbal abuse is prevalent throughout the nursing profession.

The objective of the study is to explore the reporting behaviours of student nurses who have experienced verbal abuse.

Method: For this study a definition of verbal abuse was adopted from current Department of Health (England) guidelines. Questionnaires were distributed in 2005 to a convenience sample of 156 third year nursing students from one pre-registration nursing programme in England. A total of 114 questionnaires were returned, giving an overall response rate of 73.0%.

Results: Fifty one students (44.7% of responses) reported verbal abuse; all of these completed the section exploring reporting behaviours. The incidents involved patients in thirty three cases (64.7%); eight cases (15.7%) involved visitors or relatives and ten cases (19.6%) involved other healthcare workers. Thirty two students (62.7%) stated that they did report the incident of verbal abuse they

experienced and nineteen (37.3%) of respondents reported that they did not. Only four incidents developed from an oral report to being formally documented. There was a statistically significant association (P = 0.003) between the focus of verbal abuse (patient/visitor or colleague) and the respondents reporting practices with respondents experiencing verbal abuse from colleagues less likely to report incidents. Most frequent feelings following experiences of verbal abuse from colleagues were feelings of embarrassment and hurt/shock. Most frequent consequences of experiencing verbal abuse from patients or relatives were feeling embarrassed and feeling sorry for the abuser. When comparing non reporters with reporters, the most frequent feelings of non reporters were embarrassment and hurt and reporters, embarrassment and feeling sorry for the

abuser. When considering levels of support after the incident the mean rating score of respondents who reported the incident was 5.40 (standard deviation 2.89) and of those that did not, 4.36 (standard deviation 2.87) which was not statistically significant (p = 0.220).

Conclusions: 1. Not documenting experiences of verbal abuse formally in writing is a prevalent phenomenon within the sample studied and reporting practices are inconsistent.

2. Both Higher Education Institutions and health care providers should consider emphasising formal reporting and documenting of incidents of verbal abuse during student nurse training and access to formal supportive services should be promoted.

3. Effective incident reporting processes and analysis of these reports can lead to an increased awareness of how to avoid negative interactions in the workplace and how to deal with incidents effectively"
25,Assessing the suitability of ship design for human factors issues associated with evacuation and normal operations,Evaluating ship layout for human factors (HF) issues using simulation software such as maritimeEXODUS can be a long and complex process. The analysis requires the identification of relevant evaluation scenarios; encompassing evacuation and normal operations; the development of appropriate measures which can be used to gauge the performance of crew and vessel and finally; the interpretation of considerable simulation data. In this paper we present a systematic and transparent methodology for assessing the HF performance of ship design which is both discriminating and diagnostic. The methodology is demonstrated using two variants of a hypothetical naval ship
26,JOSTLE: multilevel graph partitioning software: an overview,"In this chapter we look at JOSTLE, the multilevel graph-partitioning software package, and highlight some of the key research issues that it addresses. We first outline the core algorithms and place it in the context of the multilevel refinement paradigm. We then look at issues relating to its use as a tool for parallel processing and, in particular, partitioning in parallel. Since its first release in 1995, JOSTLE has been used for many mesh-based parallel scientific computing applications and so we also outline some enhancements such as multiphase mesh-partitioning, heterogeneous mapping and partitioning to optimise subdomain shap"
27,A computational study of the characteristics of aircraft post-crash fires,"Full-scale furnished cabin fires have been studied experimentally for the purpose of characterising the post-crash cabin fire environment by the US Federal Aviation

Administration for many years. In this paper the Computational Fluid Dynamics fire field model SMARTFIRE is used to simulate one of these fires conducted in the C-133 test facility in order to provide further validation of the computational approach and the SMARTFIRE software. The experiment involves exposing the interior cabin materials to an external fuel fire, opening only one exit at the far end of the cabin (the same side as the rupture) for ventilation, and noting the subsequent spread of the external fire to the cabin interior and the onset of flashover at approximately 210 seconds. Through this analysis, the software is shown to be in good agreement with the experimental data, producing reasonable agreement with the fire dynamics prior to flashover and producing a reasonable prediction of the

flashover time i.e. 225 seconds. The paper then proceeds to utilize the model to examine the impact on flashover time of the extent of cabin furnishings and cabin ventilation provided by available exit"
28,Emotional coherence in educational leadership: the importance of the personal in interpreting and sustaining primary school headship,"This thesis examines how primary headteachers experience, and talk about, emotion and meaning in their daily interactions, and sets out to understand further how the affective impacts on their leadership. It presents a reflective journey into the affective world of the primary headteacher, concentrating on the personal side of headship. It argues that primary headship is reliant on the personal emotional quality of the headteacher, and at the same time a quality of the social relationships in the school. By using an iterative process, the research argues that emotion and leadership are closely tied together, and this is of crucial importance in creating, modifying and sustaining both the headteacher and the emotional coherence of the whole school. The research draws on the headteachers’ own reflections on emotions as well as the influence of their life history, school context and emotional epiphanies. The affective is examined firstly by exploring the literature outside the educational leadership and management field that deals with emotion. This leads to an examination of the metaphor of emotional textures. Then, using qualitative methodology, this metaphor is used to discuss and draw upon on a small-scale study of primary headteachers to discuss the reality in the mind of the participants. Observation is then used as an analytical tool to develop understanding of the need for emotional coherence in primary school headship. The concept of a personal leadership narrative is developed to show not only that an individual’s complexity is not adequately served by competency approaches to emotion, but also that primary school headship is a complex synergy of emotion and leadership. Finally, the implications of the findings for adding to leadership theory and practice are discussed"
29,Towards a pedagogical framework for the teaching of controversial socio-scientific issues to secondary school students in the age range 14-19,"Teaching controversial socio-scientific issues presents a significant challenge to teachers because these issues are often based on complex but tentative scientific evidence, and differences between contending parties reflect political, socio-economic and ethical considerations. This thesis aims to develop a realisable pedagogy, underpinned by a theoretical framework, to address such controversial issues. The framework draws on three separate but interwoven strands: McLaughlin’s formulation of nine ‘levels of disagreement’ which conceptualises controversy in a democratic and pluralistic society, the levels ranging from differences based on evidence to differences in worldviews; the ‘communicative virtues’ in which participants need to be schooled to support open dialogue; and Bruner’s ‘modes of thought’ in which protagonists in a controversy aim to convince their interlocutors through narrative and logico-scientific modes. This pedagogical framework operates through constructions of the school-society interface ranging from science as authoritative to science as negotiable. 83 teachers, from 21 different secondary schools and further education colleges in England and Wales, were interviewed about their experiences of teaching controversial socio-scientific issues. Empirical indicators drawn from the teachers’ narratives were mapped onto the framework to construct a picture of current pedagogy. Findings point to a need to support teachers in focusing on specific case studies, particularly those which draw on evidence and its associated logical procedures, to encourage teachers to explicitly draw on student narratives and to educate students in the communicative virtues. Opportunities and limitations are discussed in locating the teaching of controversial socio-scientific issues in the curriculum and in further characterising pedagogy and learning for future research"
30,Health of children and young people in secure settings,"This small-scale descriptive study was commissioned by the Children and Young People's Public Health team within the Department of Health, in partnership with Offender Health, in order to inform preparation and implementation of an Offender Health Strategy document for children and young people. The overall aim was to review what is currently known about healthcare for children and young people in the secure estate, covering all three types of settings (Young Offender Institution, Secure Training Centre and Secure Children's Home) and all aspects of health, but with a particular focus on physical health since more is already known about mental health and substance misuse among young people in secure settings"
31,Methods and approaches to improving the emotional health and well being of children: A briefing paper concerning interventions to prevent internalising disorders,"This paper presents a summary of the prevalence of somatic, anxiety and depressive disorders in children and of the known risk and protective factors associated with these problems. It then reviews the evidence for successful treatments and prevention programmes, focusing on psychological therapies rather than pharmacological interventions, with particular emphasis on interventions for children of primary school age"
32,The media literacy of children and young people: a review of the research literature,None
33,Should science educators deal with the science/religion issue?,None
34,Towards a framework for investigating tangible environments for learning,None
35,Factors influencing the success of computer mediated communication (CMC) environments in university teaching: a review and case study,"Despite its potential benefits, the effectiveness of CMC when used to support learning in higher education is very variable, making it important to identify those factors which best predict successful implementations. A review of the literature from the past few years, presented in the first half of this paper, suggests that, consistent with Activity Theory (Leont'ev, 1978), the critical factors are those which provide a context and rationale for online communication by helping users to establish a shared purpose. However, generating empirical support for this hypothesis presents two kinds of methodological problem: specifying the methods and measures necessary to discern the existence and impact of shared purpose; and dealing with the difficulties of making controlled comparisons in this area. The second half of the paper illustrates, via an implementation case study, something of how these methodological problems might be resolved, and presents evidence in favour of the central importance of shared purpose"
36,The effects of adult guidance and peer discussion on the development of children's representations: evidence from the training of pedestrian skills,"It was hypothesised that practical training is effective in improving children's pedestrian skills because adult scaffolding and peer discussion during training specifically promote E3 level representation (linguistically-encoded, experientially-grounded, generalisable knowledge), as defined by Karmiloff-Smith's (1992) representational redescription (RR) model. Two studies were conducted to examine in detail the impact of this social input, in the context of simulation-based training in roadside search skills. Five- to eight-year-olds were pre-tested on ability to detect relevant road crossing features. They then participated in four training sessions designed to promote attunement to these, under peer discussion condition vs adult guidance conditions (Study 1), and adult-child vs adult-group conditions (Study 2). Performance at post-test was compared to that of controls who underwent no training. Study 1 found that children in the adult guidance condition improved significantly more than those in the peer discussion or control conditions, and this improvement was directly attributable to appropriation of E3 level representations from adult dialogue. Study 2 found that progress was greater still when adult scaffolding was supplemented by peer discussion, with E3 level representation attributable to children's exploration of conflicting ideas. The implications of these findings for the RR model and for practical road safety education are discussed"
37,The Commercial Sexual Exploitation of Children and Young People: An Overview of key literature and data,None
38,Grouping practices in the primary school: what influences change?,"During the 1990s, there was considerable emphasis on promoting particular kinds of pupil grouping as a means of raising educational standards. This survey of 2000 primary schools explored the extent to which schools had changed their grouping practices in responses to this, the nature of the changes made and the reasons for those changes. Forty eight percent of responding schools reported that they had made no change. Twenty two percent reported changes because of the literacy hour, 2% because of the numeracy hour, 7% because of a combination of these and 21% for other reasons. Important influences on decisions about the types of grouping adopted were related to pupil learning and differentiation, teaching, the implementation of the national literacy strategy, practical issues and school self-evaluation"
39,Secondary school pupils' preferences for different types of structured grouping practices,"The aim of this paper is to explore pupils’ preferences for particular types of grouping practices an area neglected in earlier research focusing on the personal and social outcomes of ability grouping. The sample comprised over 5,000 year 9 pupils (aged 13-14 years) in 45 mixed secondary comprehensive schools in England. The schools represented three levels of ability grouping in the lower school (years 7 to 9). Pupils responded to a questionnaire which explored the types of grouping that they preferred and the reasons for their choices. The majority of pupils preferred setting, although this was mediated by their set placement, type of school, socio-economic status and gender. The key reason given for this preference was that it enabled work to be matched to learning needs. The paper considers whether there are other ways of achieving this avoiding the negative social and personal outcomes of setting for some pupils"
40,Secondary school pupils' satisfaction with their ability grouping placements,"There has been little research exploring pupils’ satisfaction with their ability group placement. This paper explores the extent to which pupils are happy with their placement, and the reasons they give for wanting to move to another class or set. The sample comprised over 5,000 year 9 pupils (aged 13-14 years) in 45 mixed secondary comprehensive schools in England. The schools represented three levels of ability grouping in the lower school (years 7 to 9). Pupils responded to a questionnaire which explored their current set placement, their satisfaction with it, and their reasons for wanting to change. A substantial proportion of pupils expressed a wish to change set, most, but not all, in an upward direction, mainly because the level of work was inappropriate. The implications for ability grouping practices in schools are discussed"
41,Number skills and knowledge in children with specific language impairment,"The number skills of groups of 7 to 9 year old children with specific language impairment (SLI) attending mainstream or special schools are compared with an age and nonverbal reasoning matched group (AC), and a younger group matched on oral language comprehension. The SLI groups performed below the AC group on every skill. They also showed lower working memory functioning and had received lower levels of instruction. Nonverbal reasoning, working memory functioning, language comprehension, and instruction accounted for individual variation in number skills to differing extents depending on the skill. These factors did not explain the differences between SLI and AC groups on most skills"
